
,Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TIME FROM,TIME TO,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00,02:30,"1, 9, 13, 5","1, 9, 13, 5","1, 9, 13, 5","1, 9, 13, 5","2, 10, 14, 6","2, 10, 14, 6","2, 10, 14, 6","2, 10, 14, 6","3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8"
02:00,04:30,"2, 10, 14, 6","2, 10, 14, 6","2, 10, 14, 6","2, 10, 14, 6","3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9"
04:00,06:30,"3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","3, 11, 15, 7","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10"
06:00,08:30,"4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","4, 12, 16, 8","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11"
08:00,10:30,"5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","5, 13, 1, 9","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12"
10:00,12:30,"6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","6, 14, 2, 10","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13"
12:00,14:30,"7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","7, 15, 3, 11","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14"
14:00,16:30,"8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","8, 16, 4, 12","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15"
16:00,18:30,"9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","9, 1, 5, 13","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16"
18:00,20:30,"10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","10, 2, 6, 14","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1"
20:00,22:30,"11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","11, 3, 7, 15","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1","14, 6, 10, 2","14, 6, 10, 2","14, 6, 10, 2","14, 6, 10, 2"
22:00,00:30,"12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","12, 4, 8, 16","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1","13, 5, 9, 1","14, 6, 10, 2","14, 6, 10, 2","14, 6, 10, 2","14, 6, 10, 2","15, 7, 11, 3","15, 7, 11, 3","15, 7, 11, 3","15, 7, 11, 3"
