
,Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TIME FROM,TIME TO,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00,02:30,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8
02:00,04:30,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9
04:00,06:30,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10
06:00,08:30,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11
08:00,10:30,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12
10:00,12:30,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13
12:00,14:30,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14
14:00,16:30,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15
16:00,18:30,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16
18:00,20:30,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1
20:00,22:30,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2
22:00,00:30,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3
